year,region,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49
2000,addis_ababa,1.0,22.0,78.0,124.0,93.0,45.0,3.0,4.0
2000,afar,0.0,133.0,229.0,198.0,171.0,96.0,51.0,5.0
2000,amhara,4.0,143.0,235.0,230.0,226.0,153.0,105.0,12.0
2000,benishangul_gumuz,0.0,110.0,248.0,222.0,188.0,163.0,74.0,0.0
2000,central,1.0,60.0,226.0,265.0,250.0,178.0,95.0,38.0
2000,dire_dawa,0.0,49.0,113.0,181.0,195.0,95.0,59.0,0.0
2000,gambela,1.0,96.0,212.0,213.0,175.0,130.0,35.0,0.0
2000,harari,0.0,86.0,178.0,189.0,185.0,152.0,37.0,14.0
2000,oromia,0.0,104.0,263.0,280.0,275.0,191.0,83.0,16.0
2000,sidama,1.0,60.0,226.0,265.0,250.0,178.0,95.0,38.0
2000,somali,0.0,128.0,242.0,239.0,184.0,124.0,97.0,0.0
2000,south,1.0,60.0,226.0,265.0,250.0,178.0,95.0,38.0
2000,southwest,1.0,60.0,226.0,265.0,250.0,178.0,95.0,38.0
2000,tigray,1.0,99.0,213.0,234.0,238.0,183.0,84.0,19.0
2001,addis_ababa,1.0,21.0,74.2,115.4,89.4,41.2,5.8,3.2
2001,afar,0.8,129.0,230.8,198.0,175.6,102.4,54.2,5.9375
2001,amhara,4.2,134.8,233.8,229.8,222.2,150.8,96.6,18.6
2001,benishangul_gumuz,0.0,112.6,252.6,232.6,186.0,152.6,68.0,0.0
2001,central,1.0,63.6,226.0,262.6,253.4,175.0,94.6,40.0
2001,dire_dawa,0.0,50.6,132.6,174.8,190.4,96.8,51.2,0.0
2001,gambela,1.2,102.8,210.2,201.0,167.0,123.2,31.8,0.0
2001,harari,0.0,86.6,180.2,189.2,177.4,143.6,35.6,0.0
2001,oromia,0.2,109.6,260.6,278.0,272.0,191.4,88.0,17.2
2001,sidama,1.0,63.6,226.0,262.6,253.4,175.0,94.6,40.0
2001,somali,1.4,129.4,255.2,240.6,189.0,134.6,101.4545455,0.0
2001,south,1.0,63.6,226.0,262.6,253.4,175.0,94.6,40.0
2001,southwest,1.0,63.6,226.0,262.6,253.4,175.0,94.6,40.0
2001,tigray,1.4,100.0,217.6,231.0,227.2,176.4,88.4,20.4
2002,addis_ababa,1.0,20.0,70.4,106.8,85.8,37.4,8.6,2.4
2002,afar,1.6,125.0,232.6,198.0,180.2,108.8,57.4,6.875
2002,amhara,4.4,126.6,232.6,229.6,218.4,148.6,88.2,25.2
2002,benishangul_gumuz,0.0,115.2,257.2,243.2,184.0,142.2,62.0,0.0
2002,central,1.0,67.2,226.0,260.2,256.8,172.0,94.2,42.0
2002,dire_dawa,0.0,52.2,152.2,168.6,185.8,98.6,43.4,0.0
2002,gambela,1.4,109.6,208.4,189.0,159.0,116.4,28.6,0.0
2002,harari,0.0,87.2,182.4,189.4,169.8,135.2,34.2,0.0
2002,oromia,0.4,115.2,258.2,276.0,269.0,191.8,93.0,18.4
2002,sidama,1.0,67.2,226.0,260.2,256.8,172.0,94.2,42.0
2002,somali,2.8,130.8,268.4,242.2,194.0,145.2,105.9090909,0.0
2002,south,1.0,67.2,226.0,260.2,256.8,172.0,94.2,42.0
2002,southwest,1.0,67.2,226.0,260.2,256.8,172.0,94.2,42.0
2002,tigray,1.8,101.0,222.2,228.0,216.4,169.8,92.8,21.8
2003,addis_ababa,1.0,19.0,66.6,98.2,82.2,33.6,11.4,1.6
2003,afar,2.4,121.0,234.4,198.0,184.8,115.2,60.6,7.8125
2003,amhara,4.6,118.4,231.4,229.4,214.6,146.4,79.8,31.8
2003,benishangul_gumuz,0.0,117.8,261.8,253.8,182.0,131.8,56.0,0.0
2003,central,1.0,70.8,226.0,257.8,260.2,169.0,93.8,44.0
2003,dire_dawa,0.0,53.8,171.8,162.4,181.2,100.4,35.6,0.0
2003,gambela,1.6,116.4,206.6,177.0,151.0,109.6,25.4,0.0
2003,harari,0.0,87.8,184.6,189.6,162.2,126.8,32.8,0.0
2003,oromia,0.6,120.8,255.8,274.0,266.0,192.2,98.0,19.6
2003,sidama,1.0,70.8,226.0,257.8,260.2,169.0,93.8,44.0
2003,somali,4.2,132.2,281.6,243.8,199.0,155.8,110.3636364,0.0
2003,south,1.0,70.8,226.0,257.8,260.2,169.0,93.8,44.0
2003,southwest,1.0,70.8,226.0,257.8,260.2,169.0,93.8,44.0
2003,tigray,2.2,102.0,226.8,225.0,205.6,163.2,97.2,23.2
2004,addis_ababa,1.0,18.0,62.8,89.6,78.6,29.8,14.2,0.8
2004,afar,3.2,117.0,236.2,198.0,189.4,121.6,63.8,8.75
2004,amhara,4.8,110.2,230.2,229.2,210.8,144.2,71.4,38.4
2004,benishangul_gumuz,0.0,120.4,266.4,264.4,180.0,121.4,50.0,0.0
2004,central,1.0,74.4,226.0,255.4,263.6,166.0,93.4,46.0
2004,dire_dawa,0.0,55.4,191.4,156.2,176.6,102.2,27.8,0.0
2004,gambela,1.8,123.2,204.8,165.0,143.0,102.8,22.2,0.0
2004,harari,0.0,88.4,186.8,189.8,154.6,118.4,31.4,0.0
2004,oromia,0.8,126.4,253.4,272.0,263.0,192.6,103.0,20.8
2004,sidama,1.0,74.4,226.0,255.4,263.6,166.0,93.4,46.0
2004,somali,5.6,133.6,294.8,245.4,204.0,166.4,114.8181818,0.0
2004,south,1.0,74.4,226.0,255.4,263.6,166.0,93.4,46.0
2004,southwest,1.0,74.4,226.0,255.4,263.6,166.0,93.4,46.0
2004,tigray,2.6,103.0,231.4,222.0,194.8,156.6,101.6,24.6
2005,addis_ababa,1.0,17.0,59.0,81.0,75.0,26.0,17.0,0.0
2005,afar,4.0,113.0,238.0,198.0,194.0,128.0,67.0,9.6875
2005,amhara,5.0,102.0,229.0,229.0,207.0,142.0,63.0,45.0
2005,benishangul_gumuz,0.0,123.0,271.0,275.0,178.0,111.0,44.0,0.0
2005,central,1.0,78.0,226.0,253.0,267.0,163.0,93.0,48.0
2005,dire_dawa,0.0,57.0,211.0,150.0,172.0,104.0,20.0,0.0
2005,gambela,2.0,130.0,203.0,153.0,135.0,96.0,19.0,0.0
2005,harari,0.0,89.0,189.0,190.0,147.0,110.0,30.0,0.0
2005,oromia,1.0,132.0,251.0,270.0,260.0,193.0,108.0,22.0
2005,sidama,1.0,78.0,226.0,253.0,267.0,163.0,93.0,48.0
2005,somali,7.0,135.0,308.0,247.0,209.0,177.0,119.2727273,0.0
2005,south,1.0,78.0,226.0,253.0,267.0,163.0,93.0,48.0
2005,southwest,1.0,78.0,226.0,253.0,267.0,163.0,93.0,48.0
2005,tigray,3.0,104.0,236.0,219.0,184.0,150.0,106.0,26.0
2006,addis_ababa,0.833333333,16.66666667,63.83333333,82.83333333,73.83333333,27.33333333,14.83333333,0.0
2006,afar,3.666666667,112.0,238.0,205.1666667,192.0,130.6666667,63.16666667,10.625
2006,amhara,4.166666667,95.16666667,224.8333333,221.8333333,198.1666667,141.1666667,63.83333333,40.83333333
2006,benishangul_gumuz,1.0,126.0,263.3333333,267.5,184.8333333,113.8333333,48.83333333,0.0
2006,central,0.833333333,75.83333333,218.0,252.3333333,257.5,162.5,90.0,46.5
2006,dire_dawa,0.333333333,56.0,203.3333333,151.5,173.8333333,103.5,18.66666667,0.0
2006,gambela,2.833333333,121.1666667,192.3333333,157.0,140.0,104.0,23.5,0.0
2006,harari,0.0,92.83333333,186.1666667,191.1666667,148.1666667,103.5,34.5,0.0
2006,oromia,0.833333333,127.8333333,249.3333333,272.6666667,253.5,187.5,102.5,24.5
2006,sidama,0.833333333,75.83333333,218.0,252.3333333,257.5,162.5,90.0,46.5
2006,somali,6.5,132.0,306.8333333,259.1666667,224.5,179.5,123.7272727,0.0
2006,south,0.833333333,75.83333333,218.0,252.3333333,257.5,162.5,90.0,46.5
2006,southwest,0.833333333,75.83333333,218.0,252.3333333,257.5,162.5,90.0,46.5
2006,tigray,2.666666667,100.0,225.3333333,221.0,191.0,150.5,95.5,23.0
2007,addis_ababa,0.666666667,16.33333333,68.66666667,84.66666667,72.66666667,28.66666667,12.66666667,0.0
2007,afar,3.333333333,111.0,238.0,212.3333333,190.0,133.3333333,59.33333333,11.5625
2007,amhara,3.333333333,88.33333333,220.6666667,214.6666667,189.3333333,140.3333333,64.66666667,36.66666667
2007,benishangul_gumuz,2.0,129.0,255.6666667,260.0,191.6666667,116.6666667,53.66666667,0.0
2007,central,0.666666667,73.66666667,210.0,251.6666667,248.0,162.0,87.0,45.0
2007,dire_dawa,0.666666667,55.0,195.6666667,153.0,175.6666667,103.0,17.33333333,0.0
2007,gambela,3.666666667,112.3333333,181.6666667,161.0,145.0,112.0,28.0,0.0
2007,harari,0.0,96.66666667,183.3333333,192.3333333,149.3333333,97.0,39.0,0.0
2007,oromia,0.666666667,123.6666667,247.6666667,275.3333333,247.0,182.0,97.0,27.0
2007,sidama,0.666666667,73.66666667,210.0,251.6666667,248.0,162.0,87.0,45.0
2007,somali,6.0,129.0,305.6666667,271.3333333,240.0,182.0,128.1818182,0.0
2007,south,0.666666667,73.66666667,210.0,251.6666667,248.0,162.0,87.0,45.0
2007,southwest,0.666666667,73.66666667,210.0,251.6666667,248.0,162.0,87.0,45.0
2007,tigray,2.333333333,96.0,214.6666667,223.0,198.0,151.0,85.0,20.0
2008,addis_ababa,0.5,16.0,73.5,86.5,71.5,30.0,10.5,0.0
2008,afar,3.0,110.0,238.0,219.5,188.0,136.0,55.5,12.5
2008,amhara,2.5,81.5,216.5,207.5,180.5,139.5,65.5,32.5
2008,benishangul_gumuz,3.0,132.0,248.0,252.5,198.5,119.5,58.5,0.0
2008,central,0.5,71.5,202.0,251.0,238.5,161.5,84.0,43.5
2008,dire_dawa,1.0,54.0,188.0,154.5,177.5,102.5,16.0,0.0
2008,gambela,4.5,103.5,171.0,165.0,150.0,120.0,32.5,0.0
2008,harari,0.0,100.5,180.5,193.5,150.5,90.5,43.5,0.0
2008,oromia,0.5,119.5,246.0,278.0,240.5,176.5,91.5,29.5
2008,sidama,0.5,71.5,202.0,251.0,238.5,161.5,84.0,43.5
2008,somali,5.5,126.0,304.5,283.5,255.5,184.5,132.6363636,0.0
2008,south,0.5,71.5,202.0,251.0,238.5,161.5,84.0,43.5
2008,southwest,0.5,71.5,202.0,251.0,238.5,161.5,84.0,43.5
2008,tigray,2.0,92.0,204.0,225.0,205.0,151.5,74.5,17.0
2009,addis_ababa,0.333333333,15.66666667,78.33333333,88.33333333,70.33333333,31.33333333,8.333333333,0.0
2009,afar,2.666666667,109.0,238.0,226.6666667,186.0,138.6666667,51.66666667,13.4375
2009,amhara,1.666666667,74.66666667,212.3333333,200.3333333,171.6666667,138.6666667,66.33333333,28.33333333
2009,benishangul_gumuz,4.0,135.0,240.3333333,245.0,205.3333333,122.3333333,63.33333333,0.0
2009,central,0.333333333,69.33333333,194.0,250.3333333,229.0,161.0,81.0,42.0
2009,dire_dawa,1.333333333,53.0,180.3333333,156.0,179.3333333,102.0,14.66666667,0.0
2009,gambela,5.333333333,94.66666667,160.3333333,169.0,155.0,128.0,37.0,0.0
2009,harari,0.0,104.3333333,177.6666667,194.6666667,151.6666667,84.0,48.0,0.0
2009,oromia,0.333333333,115.3333333,244.3333333,280.6666667,234.0,171.0,86.0,32.0
2009,sidama,0.333333333,69.33333333,194.0,250.3333333,229.0,161.0,81.0,42.0
2009,somali,5.0,123.0,303.3333333,295.6666667,271.0,187.0,137.0909091,0.0
2009,south,0.333333333,69.33333333,194.0,250.3333333,229.0,161.0,81.0,42.0
2009,southwest,0.333333333,69.33333333,194.0,250.3333333,229.0,161.0,81.0,42.0
2009,tigray,1.666666667,88.0,193.3333333,227.0,212.0,152.0,64.0,14.0
2010,addis_ababa,0.166666667,15.33333333,83.16666667,90.16666667,69.16666667,32.66666667,6.166666667,0.0
2010,afar,2.333333333,108.0,238.0,233.8333333,184.0,141.3333333,47.83333333,14.375
2010,amhara,0.833333333,67.83333333,208.1666667,193.1666667,162.8333333,137.8333333,67.16666667,24.16666667
2010,benishangul_gumuz,5.0,138.0,232.6666667,237.5,212.1666667,125.1666667,68.16666667,0.0
2010,central,0.166666667,67.16666667,186.0,249.6666667,219.5,160.5,78.0,40.5
