"region","quintile","Freq","percent"
"addis_ababa",1,0,0.0
"addis_ababa",2,0,0.0
"addis_ababa",3,0,0.0
"addis_ababa",4,662023,0.000711637036133257
"addis_ababa",5,929619801,0.999288362963867
"afar",1,87610606,0.683510908410687
"afar",2,2526081,0.0197077043278182
"afar",3,2045150,0.015955629097419
"afar",4,2727899,0.0212822260759457
"afar",5,33267598,0.25954353208813
"amhara",1,499489602,0.1344839281107
"amhara",2,692153491,0.186357273409696
"amhara",3,840025824,0.226170819319574
"amhara",4,889617627,0.239523050162474
"amhara",5,792834608,0.213464928997556
"benishangul_gumuz",1,39092231,0.243690221887887
"benishangul_gumuz",2,34360793,0.214195738033313
"benishangul_gumuz",3,27845871,0.173583505189342
"benishangul_gumuz",4,29807381,0.185811019324704
"benishangul_gumuz",5,29311449,0.182719515564754
"central",1,545689979,0.165962446970789
"central",2,649448557,0.197518876741858
"central",3,743585873,0.226149161181482
"central",4,764064707,0.232377454777741
"central",5,585243743,0.177992060328129
"dire_dawa",1,11320206,0.125231987481985
"dire_dawa",2,7414365,0.0820228593779009
"dire_dawa",3,5003371,0.0553507678605608
"dire_dawa",4,2307360,0.0255256201730281
"dire_dawa",5,64348584,0.711868765106525
"gambela",1,11511106,0.263314206648532
"gambela",2,3910981,0.0894628942894352
"gambela",3,3969384,0.0907988510264241
"gambela",4,5410957,0.123774539967256
"gambela",5,18913808,0.432649508068352
"harari",1,2698739,0.0701274647711832
"harari",2,4634392,0.120425932895272
"harari",3,3435818,0.0892806624705824
"harari",4,3287143,0.085417302277227
"harari",5,24427247,0.634748637585736
"oromia",1,853062739,0.149636878047181
"oromia",2,1166116954,0.20455013735449
"oromia",3,1148794919,0.201511655985743
"oromia",4,1252346572,0.219675790184957
"oromia",5,1280564521,0.224625538427629
"sidama",1,545689979,0.165962446970789
"sidama",2,649448557,0.197518876741858
"sidama",3,743585873,0.226149161181482
"sidama",4,764064707,0.232377454777741
"sidama",5,585243743,0.177992060328129
"somali",1,298492405,0.649665719873224
"somali",2,37320674,0.0812280719181579
"somali",3,31986302,0.0696178648663183
"somali",4,28101269,0.0611621295832841
"somali",5,63554722,0.138326213759016
"south",1,545689979,0.165962446970789
"south",2,649448557,0.197518876741858
"south",3,743585873,0.226149161181482
"south",4,764064707,0.232377454777741
"south",5,585243743,0.177992060328129
"southwest",1,545689979,0.165962446970789
"southwest",2,649448557,0.197518876741858
"southwest",3,743585873,0.226149161181482
"southwest",4,764064707,0.232377454777741
"southwest",5,585243743,0.177992060328129
"tigray",1,283801260,0.25136623229263
"tigray",2,211332067,0.187179385477019
"tigray",3,171495192,0.151895380130945
"tigray",4,121295749,0.107433122105386
"tigray",5,341110676,0.302125879994021
